-45,145
-50,140
-55,130
-60,120
-60,110
-70,110
-80,105
-100,100
-110,95
-120,85
-125,80
-135,60
-135,80
-130,90
-140,85
-150,85
-160,80
-170,80
-160,85
-150,90
-130,110
-120,115
-115,120
-100,125
-90,130
-80,130
-60,120

-170,80
-200,95
-190,95
-180,100
-160,120
-175,115
-170,125
-160,130
-140,135
-120,140
-100,140
-80,135
-60,120

-160,130
-145,140
-160,140
-170,135
-165,145
-160,150
-140,160
-125,165
-110,165
-90,160
-80,155
-60,140
-55,130

-45,145
-40,140
-30,130
-20,110
-20,90
-25,80
-40,60
-60,45
-80,35
-70,30
-55,30
-70,25
-80,10
-80,-20
-75,-5
-70,0
-60,15
-40,30
-30,30
-20,40
-15,50
-15,60
-25,80

-80,-20
-70,-5
-70,-20
-60,-35
-50,-40
-55,-30
-55,-20
-50,0
-30,10
-15,40
-15,50

-50,-40
-40,-50
-30,-50
-40,-30
-20,10
-15,20
-15,40

-80,10
-95,5
-120,5
-140,10
-155,20
-160,30
-160,40
-150,50
-155,60
-155,75
-150,85

-150,40
-155,35

-155,20
-145,20
-135,25
-135,30

-35,120
-30,110
-30,100
-35,90

-95,5
-95,-20
-90,-40
-80,-60
-75,-65
-65,-70

-65,-60
-65,-100
-70,-140
-90,-185
-90,-195
-85,-200
-35,-200
-30,-180
-30,-140
-35,-80
-40,-60

-35,-80
-10,-80
0,-75
10,-75

-5,-50
-5,-55
0,-65
10,-75
20,-90
30,-100
50,-140
50,-155
40,-180
35,-195
40,-200
90,-200
95,-190
85,-140
80,-120
70,-100
65,-85
50,-80
60,-60
60,-40
55,-20
50,-10
40,0
25,0

-90,-185
-100,-185
-105,-180
-80,-130
-75,-90
-75,-65

0,-75
20,-100
30,-120
35,-140
35,-150
30,-160
20,-185
20,-190
35,-195

55,-20
60,-20
80,-30
85,-50
85,-60
80,-70
70,-80
90,-80
95,-70
85,-100
85,-120
90,-140
100,-120
105,-140
115,-165
140,-180
160,-185
180,-185
170,-180
160,-165
140,-130
135,-110
135,-100
145,-80
145,-40
140,-20
120,0
100,10
80,10
60,0
50,-10

50,-10
80,-5
100,-10
110,-20
115,-40
115,-50
110,-60
90,-120
90,-140

50,-10
60,-5
80,0
100,0
120,-20
125,-40
125,-50
120,-90
110,-120
120,-160
140,-180

160,-165
180,-175
200,-175
180,-165
160,-145
155,-120
155,-35
150,-20
135,0
120,10
100,15
80,15
60,5
50,-10

180,-165
165,-140
160,-120
170,-130
180,-135
195,-140
180,-120
170,-80
170,-40
160,-10
130,20
120,25
80,25
60,10
50,-10

-20,-35
0,-35
20,-30
40,-10
40,0

25,0
50,15
70,30
80,60
70,65
60,60
40,40
70,80
80,100
80,110
70,110
50,100
30,80
20,60
40,110
40,125
20,125
10,110
0,80
-5,60
-5,30
-15,0
-25,-20

-35,-10
-15,0

-5,40
5,60
15,60
20,50
5,15
25,35
35,35
35,20
20,0
0,-10
10,-10
25,-15
25,-20
20,-25
15,-30
0,-35

-15,60
-10,65
-5,60

-20,70
-15,100
0,125
10,130
15,120
-5,70
0,80

40,0
50,15

70,30
90,40
110,45
140,30
160,15
170,0
175,-25
160,-10

-90,95
-100,95
-110,90
-120,75
-125,65
-125,55
-120,40
-110,30
-100,30
-80,40
-70,50
-70,70
-80,90
-90,95

-125,65
-115,75
-100,75
-95,60
-95,45
-100,35
-110,30

-110,90
-90,90
-75,60
-80,40

-100,75
-110,70
-110,55
-105,45
-100,45
-95,50

-120,45
-115,50
-110,45
-115,40
-120,45

-80,90
-70,100

-75,80
-65,85

-70,70
-60,70
